Warning: total_len is larger than the maximum possible length. 
Setting total_len to the maximum possible length. 
Warning: access length of dataset by len(dataset) to get the actual length. 
[0/63] Loss: 2.3554, Accuracy: 0.1406
[10/63] Loss: 2.3536, Accuracy: 0.1129
[20/63] Loss: 2.3219, Accuracy: 0.1276
[30/63] Loss: 2.2879, Accuracy: 0.1333
[40/63] Loss: 2.2327, Accuracy: 0.1481
[50/63] Loss: 2.1785, Accuracy: 0.1618
[60/63] Loss: 2.1243, Accuracy: 0.1751
[0/16] Loss: 1.5728, Accuracy: 0.3750
[10/16] Loss: 1.5722, Accuracy: 0.3906
Epoch [1/100] Train Loss: 2.1199, Train Accuracy: 0.1752, Val Loss: 1.5787, Val Accuracy: 0.3795
[0/63] Loss: 1.7403, Accuracy: 0.2812
[10/63] Loss: 1.7281, Accuracy: 0.2692
[20/63] Loss: 1.7005, Accuracy: 0.2920
[30/63] Loss: 1.6565, Accuracy: 0.2971
[40/63] Loss: 1.6320, Accuracy: 0.3062
[50/63] Loss: 1.5980, Accuracy: 0.3163
[60/63] Loss: 1.5707, Accuracy: 0.3225
[0/16] Loss: 1.0576, Accuracy: 0.6719
[10/16] Loss: 1.0920, Accuracy: 0.6179
Epoch [2/100] Train Loss: 1.5660, Train Accuracy: 0.3227, Val Loss: 1.0929, Val Accuracy: 0.6200
[0/63] Loss: 1.3497, Accuracy: 0.4062
[10/63] Loss: 1.3106, Accuracy: 0.4361
[20/63] Loss: 1.3079, Accuracy: 0.4278
[30/63] Loss: 1.3055, Accuracy: 0.4289
[40/63] Loss: 1.2872, Accuracy: 0.4356
[50/63] Loss: 1.2662, Accuracy: 0.4421
[60/63] Loss: 1.2452, Accuracy: 0.4466
[0/16] Loss: 0.8699, Accuracy: 0.6328
[10/16] Loss: 0.8780, Accuracy: 0.6179
Epoch [3/100] Train Loss: 1.2419, Train Accuracy: 0.4477, Val Loss: 0.8855, Val Accuracy: 0.6175
[0/63] Loss: 1.1700, Accuracy: 0.4766
[10/63] Loss: 1.1018, Accuracy: 0.4986
[20/63] Loss: 1.1036, Accuracy: 0.4959
[30/63] Loss: 1.0879, Accuracy: 0.5078
[40/63] Loss: 1.0769, Accuracy: 0.5124
[50/63] Loss: 1.0660, Accuracy: 0.5164
[60/63] Loss: 1.0472, Accuracy: 0.5265
[0/16] Loss: 0.5512, Accuracy: 0.9453
[10/16] Loss: 0.5670, Accuracy: 0.9425
Epoch [4/100] Train Loss: 1.0441, Train Accuracy: 0.5275, Val Loss: 0.5674, Val Accuracy: 0.9430
[0/63] Loss: 0.9542, Accuracy: 0.5391
[10/63] Loss: 0.9681, Accuracy: 0.5632
[20/63] Loss: 0.9524, Accuracy: 0.5692
[30/63] Loss: 0.9428, Accuracy: 0.5743
[40/63] Loss: 0.9177, Accuracy: 0.5911
[50/63] Loss: 0.9079, Accuracy: 0.5919
[60/63] Loss: 0.9000, Accuracy: 0.5967
[0/16] Loss: 0.5425, Accuracy: 0.8516
[10/16] Loss: 0.5603, Accuracy: 0.8295
